"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
250,1.40814,250,1.42591,716740.5409088355," Salman Manzoor,  Jakob Häusele,  Kevin A. Bush,  Axel F. Palmstrom,  Joe Carpenter,  Zhengshan J. Yu,  Stacey F. Bent,  Michael D. Mcgehee and  Zachary C. Holman, 'Optical modeling of wide-bandgap perovskite and perovskite/silicon tandem solar cells using complex refractive indices for arbitrary-bandgap perovskite absorbers', <i>Optics Express</i> <b>26</b>(21), pp.27441, (2018)",Film deposited on glass
255,1.44635,255,1.48972,734132.2992793391,,
260,1.61319,260,1.60455,775514.229587308,,
265,1.8189,265,1.6002,758819.1040414169,,
270,2.00398,270,1.55507,723762.4426396859,,
275,2.17205,275,1.45122,663147.940471648,,
280,2.28827,280,1.3188,591876.055936317,,
285,2.36836,285,1.17196,516746.79667383776,,
290,2.39013,290,1.01825,441231.2716576286,,
295,2.37142,295,0.90351,384875.9835179545,,
300,2.34952,300,0.81022,339384.159972203,,
305,2.3083,305,0.72683,299462.79192244844,,
310,2.25114,310,0.6703,271717.3620259662,,
315,2.19028,315,0.63787,254467.01027877096,,
320,2.12291,320,0.6312,247871.66036823468,,
325,2.06045,325,0.66438,256887.5479620907,,
330,2.02928,330,0.73604,280283.37657554325,,
335,2.05573,335,0.82437,309233.99830923195,,
340,2.13744,340,0.88188,325942.08580561966,,
345,2.23181,345,0.891,324540.1802143195,,
350,2.31928,350,0.87397,313789.4550237568,,
355,2.40972,355,0.83664,296155.72706471715,,
360,2.49653,360,0.76218,266051.0098570076,,
365,2.54818,365,0.6517,224369.96518843484,,
370,2.55113,370,0.53793,182698.0471508711,,
370.3858,2.54962,370.3858,0.52987,179773.16618052026,,
371.96622,2.54156,371.96622,0.4985,168411.41518867083,,
373.54666,2.53113,373.54666,0.46976,158030.54589756913,,
375,2.51988,375,0.44556,149308.58909156997,,
375.12717,2.51883,375.12717,0.44354,148581.29370615483,,
376.70773,2.50502,376.70773,0.4198,140038.60191315907,,
378.28839,2.49003,378.28839,0.39851,132381.12735969175,,
379.86908,2.47413,379.86908,0.37966,125594.54082042171,,
380,2.47278,380,0.37821,125071.7639488627,,
381.4498,2.45763,381.4498,0.36327,119674.60601836094,,
383.03058,2.4409,383.03058,0.34932,114604.02412277232,,
384.61145,2.42434,384.61145,0.33766,110323.30685018655,,
385,2.42034,385,0.33512,109382.91221517,,
386.19235,2.40825,386.19235,0.32802,106734.9182064869,,
387.77332,2.39278,387.77332,0.32013,103742.88320750902,,
389.35431,2.37806,389.35431,0.31375,101262.49225943306,,
390,2.37229,390,0.31152,100376.30189192743,,
390.93536,2.36417,390.93536,0.30863,99207.16720814591,,
392.51648,2.35112,392.51648,0.30455,97501.33728405711,,
394.09763,2.3389,394.09763,0.30128,96067.46781740685,,
395,2.33227,395,0.29971,95348.53004631867,,
395.67886,2.32741,395.67886,0.29865,94848.29651951502,,
397.2601,2.31652,397.2601,0.29657,93812.80760641454,,
398.84143,2.30617,398.84143,0.29502,92952.49640059318,,
400,2.29892,400,0.29422,92431.93905391889,,
400.42279,2.29634,400.42279,0.294,92265.30189806622,,
402.00418,2.287,402.00418,0.29346,91733.55163843925,,
403.58563,2.27814,403.58563,0.29338,91349.18433148113,,
405,2.27064,405,0.29369,91126.35520323817,,
405.16711,2.26978,405.16711,0.29375,91107.37956908712,,
406.74866,2.26189,406.74866,0.29452,90991.01822095897,,
408.33023,2.25449,408.33023,0.29569,90998.65388266415,,
409.91186,2.24757,409.91186,0.29721,91113.51426361974,,
410,2.2472,410,0.29731,91124.57676475917,,
411.4935,2.24114,411.4935,0.29907,91331.3201699759,,
413.07526,2.23521,413.07526,0.30124,91641.73821181053,,
414.65698,2.22977,414.65698,0.30368,92031.62161091788,,
415,2.22866,415,0.30425,92128.15082936815,,
416.23877,2.22483,416.23877,0.30639,92500.04012200754,,
417.82062,2.2204,417.82062,0.30933,93034.07338153207,,
419.4025,2.21648,419.4025,0.31247,93623.99665878985,,
420,2.21514,420,0.3137,93858.82051724935,,
420.98438,2.21308,420.98438,0.31579,94263.21651906619,,
422.56635,2.21022,422.56635,0.31927,94945.2114690735,,
424.14835,2.20791,424.14835,0.32285,95651.73960586808,,
425,2.2069,425,0.32482,96042.55301073287,,
425.73038,2.20616,425.73038,0.32651,96376.62384569345,,
427.31241,2.20496,427.31241,0.33018,97099.08142965262,,
428.89453,2.2043,428.89453,0.33383,97810.32885151329,,
430,2.20416,430,0.33634,98292.39749845499,,
430.47665,2.20418,430.47665,0.33741,98495.91398258021,,
432.05878,2.20457,432.05878,0.34089,99147.39098066468,,
433.64102,2.20545,433.64102,0.34423,99753.51862655563,,
435,2.2066,435,0.34696,100230.52754846112,,
435.22324,2.20682,435.22324,0.34739,100303.27166633456,,
436.80551,2.20865,436.80551,0.35035,100791.4928715239,,
438.38779,2.21091,438.38779,0.35307,101207.39158387129,,
439.97012,2.2136,439.97012,0.35552,101543.17026840308,,
440,2.21365,440,0.35556,101547.6985373079,,
441.55249,2.21667,441.55249,0.35765,101785.46270287273,,
443.13486,2.22009,443.13486,0.35945,101932.44371095978,,
444.71729,2.22384,444.71729,0.36089,101976.63983372632,,
445,2.22453,445,0.3611,101971.1557043842,,
446.29971,2.22786,446.29971,0.36193,101907.89764248367,,
